review_text
GoodREAD MORE
GoodREAD MORE
Usefull for overloading the handREAD MORE
Good productREAD MORE
GoodREAD MORE
Nice quality and worth of moneyREAD MORE
Best qualityREAD MORE
Best quality 400 gm is ideal ball for power hittinhREAD MORE
GoodREAD MORE
Awesome productREAD MORE
Good 😊READ MORE
Quality is so goodREAD MORE
NiceREAD MORE
Good for fast bowlersREAD MORE
Good product.....READ MORE
Very good productREAD MORE
PerfectREAD MORE
"Perfectly fine, for fast bowlers for doing the drills and it is durable enough suvice almost any impact with wall, hard ground, cemented or any other areaREAD MORE"
Good productREAD MORE
Good productREAD MORE
Very nice👍READ MORE
Nice product good for generate power in your shots.. must buy for battersREAD MORE
Nice purchase go for it 👍READ MORE
Very niceREAD MORE
Excellent but 400 gm ball size is perfect to pick up with finger and 600 gm ball is good but not comfortable in handsREAD MORE
GoodREAD MORE
NiceREAD MORE
Highly recommended this omtex weighted ballREAD MORE
Good productREAD MORE
GoodREAD MORE
Nice 👍 Quality mast hai 🙂READ MORE
Very good product 💯READ MORE
Good product 👍READ MORE
GoodREAD MORE
Great absoultly go for it best for javelin throwersREAD MORE
Not batterREAD MORE
Good productREAD MORE
Nice productREAD MORE
Good product no ballREAD MORE
Quality not goodREAD MORE
Very niceREAD MORE
Very nice productNo damage balls 👌👌👌READ MORE
GoodREAD MORE
SuperbREAD MORE
Got damaged and the particles within started to come out after usage of 5 to 6 timesREAD MORE
Nice quality at such a reasonable rate. Worth it 😄READ MORE
A quality productREAD MORE
Good product 👌READ MORE
NiceREAD MORE
Very good product.❇️⭐READ MORE
This product isREAD MORE
Very good quality very much use full for fast bowlersREAD MORE
Best bestREAD MORE
goodREAD MORE
Good product buy now 👍❤️👍READ MORE
GoodREAD MORE
Must buy. It is good for practice of long shotsREAD MORE
Good qualityREAD MORE
Very good equipment for bowlersREAD MORE
Best proREAD MORE
It's amazing 😍READ MORE
Good and original productREAD MORE
Wow so  nice 👍READ MORE
Very badREAD MORE
NiceREAD MORE
"Good product, valuable for price, I'm happy 😊READ MORE"
Very good for power hitting drill in cricketREAD MORE
Very nice ball help full it be nice weighted omter ballREAD MORE
GoodREAD MORE
GoodREAD MORE
So beautiful ❤️READ MORE
Good quality.READ MORE
Best one 👍READ MORE
V good productREAD MORE
Nice 👍READ MORE
It was little expensive  for me  but the product was very goodREAD MORE
Very bad ballREAD MORE
Value for money is very useful for bowlers .READ MORE
Very bad productREAD MORE
GoodREAD MORE
GoodREAD MORE
Super hit BallREAD MORE
Value abeleREAD MORE
very goodREAD MORE
Very good ball for bowlers and for power batting it is a good ball and good price also thank you FlipkartREAD MORE
Very helpful and best product and ball is very good and axist 600 grm have a ball thanksREAD MORE
Nice product any cricketer who  either bowler or batsman this must haveREAD MORE
It was  badREAD MORE
Weight is perfect but quality is not good 👍READ MORE
Nyc ☺️ I loved it 😍READ MORE
Very very good for batsmanREAD MORE
Too useful for fast bowlerREAD MORE
Best product to improve Batting grip and powerREAD MORE
"Nice product , can be used for different productREAD MORE"
Product is very goodREAD MORE
Very niceREAD MORE
Very niceREAD MORE
Amazing product best for both batting and bowling practicesREAD MORE
Good ballREAD MORE
Good qualityREAD MORE
