review_text
Tish is better but it is small size (228 L)READ MORE
"Received the product  without any damage. Delivery guys were very patient in transporting my refrigerator. Voltas itself is a big brand, so I had no doubt in buying this product. The best part was the installation guy came from 45kms after I again raised complain for installation. That's how the brand will grow and gain the trust of their customers. I will pur my review after 5 to 6 months of usage.READ MORE"
Tata product always brandREAD MORE
Nice productREAD MORE
Till now functioning properlyREAD MORE
Very good productREAD MORE
If you want to buy a 3 star double door fridge at low cost you must go for it..READ MORE
Very good product. Slight dents when delivered. But was well compensated for it.Delivery and Installation was smoothReally liked the fridgeREAD MORE
Bit getting heating issue's left and right both sides and getting nosingREAD MORE
OkREAD MORE
GoodREAD MORE
HappyREAD MORE
Upper door  not present the light.overall very good.READ MORE
Very nice product  nice working on condition very good FlipkartThank you filpcart...🥰READ MORE
Good ProductREAD MORE
Quality product is voltasREAD MORE
"Looking is very good. I hope it's not a waste of money. But I am a little bit confused about who will install the refrigerator. If anyone knows please inform me, thanks.READ MORE"
Very good productThanks FlipkartREAD MORE
Voltas is a good product good fridgerator and the under control panel without any touch so I recommend a touch display panel that is value for moneyREAD MORE
If you are looking for a good design and good fridge just go for it.READ MORE
Quick coolingREAD MORE
"There is no lock in fridge. It is little small, though it was looking big in the picture.READ MORE"
Nice Product.Value For Money.Delivery Within TimeREAD MORE
Not niceREAD MORE
Bad experienceREAD MORE
Nice productREAD MORE
Thank you flipkart for offering such nice product at very good price point.READ MORE
BestREAD MORE
Very great productREAD MORE
GoodREAD MORE
ExcellentREAD MORE
Great productsREAD MORE
All over wonderful refrigeratorREAD MORE
It is simply WOWREAD MORE
good performanceREAD MORE
The product is greatREAD MORE
Fabulous..READ MORE
Under breakdown within 3 monthsREAD MORE
Good product and low cost moneyREAD MORE
"Good space, perfect coolingREAD MORE"
Looks is superbREAD MORE
cooling system superREAD MORE
Truly valuable productREAD MORE
Amazing cooling system and space is very convenientREAD MORE
Best productREAD MORE
Product is better in this price segmentREAD MORE
BestREAD MORE
"Few plastic holders supposed to be given along with the product were not given, moreover installation person told that they come 100% if purchased from showroom and few products may be missed while ordered online overall little dissatisfied with the delivery and installation processREAD MORE"
"Performance is very good....first time when we switched on the fridge 6-8hr heat was more....but it is set down itself, after that heat also less....no noise.....very good cooling and capacity is much more.... finally very happy with it and more that expectationsREAD MORE"
GoodREAD MORE
Worth buying and very usefull for me. Writing review after 6month buyingREAD MORE
Good ProductREAD MORE
Best Quality Product TATA Voltas BrandREAD MORE
"Very poor quality product from Voltas, started problem within one year of use and no support from Voltas.READ MORE"
Amazing product and value of money. Must tryREAD MORE
"Fridge is good, and the delivery is awesomeREAD MORE"
Just wowREAD MORE
Good productREAD MORE
Perfect Product for our HomeREAD MORE
Very nice productREAD MORE
Very nice productREAD MORE
Nice produkatREAD MORE
Best buy greatREAD MORE
GoodREAD MORE
Best productREAD MORE
Less accesaseriers and not same as listing. Differnt than offline shop.There are 3 no door self missingNot happy this time flipcart breaking my trust.... Coustomer care is trying convay me that every ting all rightREAD MORE
Good product 👍👍👍👍READ MORE
superREAD MORE
Nice design...loved it...READ MORE
Fridge not cooling and ice not forming in freezerREAD MORE
Awesome product and serviceREAD MORE
Super fast coolingREAD MORE
Good 👍READ MORE
AmezingREAD MORE
Nothing official about itREAD MORE
very good product go for itREAD MORE
It is a very good product with the price range and cooling is fast. Neo frost is superb with no extra ice on top compartment. No heating issues afterREAD MORE
Levelling screw is not working.  Otherwise excellent refrigerator.READ MORE
Good quality productREAD MORE
GoodREAD MORE
NiceREAD MORE
I Love itREAD MORE
Mind blowingREAD MORE
Best at this price range.READ MORE
Good productREAD MORE
It was amazing productI believe TATA 😎READ MORE
Good quality product I am really happy thanks. From flipkart and seller lowest price and exchange benefit I love it.READ MORE
ExcellentREAD MORE
Big enoughREAD MORE
Nice for budget freezeREAD MORE
Thank u flipkartREAD MORE
Internal size and design made difficult in usageREAD MORE
Very niceREAD MORE
Good product must buy.READ MORE
Product is goodREAD MORE
Verry good👍READ MORE
GoodREAD MORE
Value for MoneyREAD MORE
Very good productREAD MORE
Nice product good jobREAD MORE
Very good productREAD MORE
Very good productREAD MORE
NiceREAD MORE
I am purchesing in one mounth 2 product of tata voltas the great product and good setvices.READ MORE
GoodREAD MORE
Looking very niceREAD MORE
"Using it for only 4days ,lets see the long term function of the product.READ MORE"
Value for moneyREAD MORE
The fridge is not doing enough cooling..READ MORE
"Product delivered with oil leakage from the machineWould suggest never to buy white goods from Flipkart,  as no one is taking responsibility for faulty products.They just simply say we will assign engineer and no one has turned up yetREAD MORE"
Products delivered but installation takes more timeREAD MORE
